SIBVL	-2.667000	-352.542600	8.146392
SIBVR	-2.767000	-352.542600	8.146392
SMBDL	3.100000	-346.299700	8.081900
SMBDR	-7.000000	-346.299700	8.081900
SMBVL	0.425000	-345.502600	7.782339
SMBVR	-4.600000	-345.502600	7.782339
SMDDL	3.250000	-348.590800	7.947684
SMDDR	-7.450000	-348.590800	7.947684
SMDVL	4.700000	-357.778200	-1.910490
SMDVR	-8.900001	-357.778200	-1.910490
URADL	5.000000	-372.340900	-2.837839
URADR	-9.300000	-372.340900	-2.837839
URAVL	0.325000	-364.199000	5.961356
URAVR	-4.575000	-364.199000	5.961356
URBL	5.050000	-366.528200	0.234676
URBR	-9.325000	-366.528200	0.234676
URXL	3.050000	-357.348400	-3.810877
URXR	-7.350000	-357.348400	-3.810877
URYDL	4.125000	-369.216500	-3.468794
URYDR	-8.400000	-369.216500	-3.468794
URYVL	3.400000	-366.776500	2.628210
URYVR	-7.700000	-366.776500	2.628210
VA1	-1.350000	-310.117200	14.155080
VA10	-1.850000	214.614200	24.591820
VA11	-1.550000	269.340500	17.265800
VA12	-0.100000	315.281200	13.466230
VA2	-1.850000	-286.094200	18.824910
VA3	-1.475000	-246.215700	21.834760
VA4	-1.850000	-177.518600	21.171390
VA5	-1.850000	-123.065200	22.729430
VA6	-1.850000	-50.702420	28.630910
VA7	-1.850000	42.055120	23.246410
VA8	-1.800000	104.541000	24.059120
VA9	-1.800000	167.302400	24.121070
VB1	-1.550000	-322.165100	15.227100
VB10	-1.850000	176.843500	24.097100
VB11	-1.825000	222.204700	23.388400
VB2	-2.000000	-330.062100	15.307640
VB3	-1.850000	-277.711100	19.561080
VB4	-2.000000	-233.369100	22.622740
VB5	-1.850000	-168.428400	21.295310
VB6	-1.850000	-107.786600	24.040790
VB7	-9.675000	-25.002190	23.377270
VB8	-1.825000	55.260690	24.120990
VB9	-1.850000	114.447500	22.901450
VB10	-1.850000	176.843500	24.097100
VB11	-1.825000	222.204700	23.388400
VC1	-0.725000	-229.492900	22.987270
VC2	-0.625000	-164.676400	21.375170
VC3	-1.450000	-79.875150	27.280840
VC4	-1.150000	-22.758580	24.362920
VC5	-1.150000	3.734544	24.258270
VD1	-0.700000	-300.181900	17.519110
VD2	-0.650000	-297.071900	17.753550
VD3	-0.800000	-251.134900	21.296490
VD4	-0.800000	-194.199200	22.593980
VD5	-0.750000	-134.725000	21.439050
VD6	-0.700000	-74.909040	27.795820
VD7	-12.350000	-5.144012	21.984110
VD8	-0.750000	87.203490	24.844880
VD9	-0.800000	148.837900	23.231930
VD10	-0.750000	195.552100	24.561500
VD11	-0.800000	243.404600	21.057800
VD12	-0.750000	298.357100	15.074160
VD13	-0.750000	333.472900	10.326560
